issue_type,post_id,post_type,post_status,post_name,match_count,find_url,replace_url
c_knowledge,260030,post,publish,brazil-central-bank-crypto-industry-regulation,2,https://coincu.com/c/knowledge/,https://coincu.com/knowledge/
c_knowledge,256845,post,publish,kamino-finance-review-defi-platform-on-sol,1,https://coincu.com/c/knowledge/,https://coincu.com/knowledge/
