url,title,h1,content_bucket,status_code,indexability,word_count,meta_description_len,clicks,impressions,ctr,position,ref_domains,backlinks,in_live_sitemap,heuristic_action,confidence,priority,reason
https://coincu.com/ftx-raises-up-1b-at-32b-valuation/,FTX Reportedly Raises Up To $1 Billion At $32 Billion Valuation,FTX Reportedly Raises Up To $1 Billion At $32 Billion Valuation,news,200,Indexable,1983,153,0,0,,,0,0,yes,delete,high,P1,no_signal
https://coincu.com/ftx-receives-court-approval-for-first-day/,"FTX Receives Court Approval for ""First Day"" Motions",FTX Receives Court Approval for “First Day” Motions,news,200,Indexable,2011,158,0,0,,,0,0,yes,delete,high,P1,no_signal
https://coincu.com/ftx-receives-license-in-europe/,FTX Receives License To Operate In Europe,FTX Receives License To Operate In Europe,news,200,Indexable,2063,158,0,0,,,0,0,yes,delete,high,P1,no_signal
https://coincu.com/ftx-recording-6-billion-in-withdrawals/,"FTX Recording $6 Billion In Withdrawals In 72 Hours, SBF Message To Staff","FTX Recording $6 Billion In Withdrawals In 72 Hours, SBF Message To Staff",news,200,Indexable,2012,193,0,0,,,0,0,yes,delete,high,P1,no_signal
https://coincu.com/ftx-recoup-100m-from-1500-bahamian/,"FTX Will Recoup $100 Million Withdrawn From 1,500 Bahamian Accounts Before Bankruptcy","FTX Will Recoup $100 Million Withdrawn From 1,500 Bahamian Accounts Before Bankruptcy",news,200,Indexable,2027,157,0,0,,,0,0,yes,delete,high,P1,no_signal
https://coincu.com/ftx-recover-71m-charity-life-science/,FTX Seeks To Recover $71M Charity For Life Science Organizations,FTX Seeks To Recover $71M Charity For Life Science Organizations,news,200,Indexable,2111,110,0,0,,,0,0,yes,delete,high,P1,no_signal
https://coincu.com/ftx-recovers-7-3b-cash-and-crypto-assets/,"FTX Recovers $7.3B Cash And Crypto Assets, Considers Q2 Relaunch","FTX Recovers $7.3B Cash And Crypto Assets, Considers Q2 Relaunch",news,200,Indexable,2102,170,0,0,,,0,0,yes,delete,high,P1,no_signal
https://coincu.com/ftx-refuses-help-celsius-because-2b-usd/,FTX Refuses To Help Celsius Because Of A Loss Of 2 Billion USD,FTX Refuses To Help Celsius Because Of A Loss Of 2 Billion USD,news,200,Indexable,2040,140,0,0,,,0,0,yes,delete,high,P1,no_signal
https://coincu.com/ftx-reorganization-plan-backed-by-over-94/,FTX Reorganization Plan Backed By Over 94% Of Dotcom Creditors,FTX Reorganization Plan Backed By Over 94% Of Dotcom Creditors,news,200,Indexable,2026,166,0,0,,,0,0,yes,delete,high,P1,no_signal
https://coincu.com/ftx-reorganization-plan-effect-on-january-3/,FTX Reorganization Plan Will Take Effect on January 3,FTX Reorganization Plan Will Take Effect on January 3,news,200,Indexable,2097,104,0,0,,,0,0,yes,delete,high,P1,no_signal
https://coincu.com/ftx-reorganization-plan-is-facing-opposition/,FTX Reorganization Plan Is Facing Fierce Opposition,FTX Reorganization Plan Is Facing Fierce Opposition,news,200,Indexable,2191,102,0,0,,,0,0,yes,delete,high,P1,no_signal
https://coincu.com/ftx-repayment-plan-changes-leave-creditors/,FTX Repayment Plan Changes Leave Creditors Feeling Scammed Twice,FTX Repayment Plan Changes Leave Creditors Feeling Scammed Twice,news,200,Indexable,2012,155,0,0,,,0,0,yes,delete,high,P1,no_signal
https://coincu.com/ftx-repayment-rumors-pump-bankrupt-coins/,Market Overview (Sept 23 – Sept 29): FTX Repayment Rumors Pump Bankrupt Coins,Market Overview (Sept 23 – Sept 29): FTX Repayment Rumors Pump Bankrupt Coins,news,200,Indexable,2269,206,0,0,,,0,0,yes,delete,high,P1,no_signal
https://coincu.com/ftx-repayments-will-start-in-next-2-weeks/,FTX Repayments Will Start In Next 2 Weeks After Long Wait,FTX Repayments Will Start In Next 2 Weeks After Long Wait,news,200,Indexable,2133,117,0,0,,,0,0,yes,delete,high,P1,no_signal
https://coincu.com/ftx-requested-provide-documentation/,FTX Is Requested To Provide Documentation Involved In Bankruptcy Investigation,FTX Is Requested To Provide Documentation Involved In Bankruptcy Investigation,news,200,Indexable,1928,130,0,0,,,0,0,yes,delete,high,P1,no_signal
https://coincu.com/ftx-restarting-exchange-with-creditor-money/,FTX Trading Considers Restarting Failed Crypto Exchange With Creditor Money,FTX Trading Considers Restarting Failed Crypto Exchange With Creditor Money,news,200,Indexable,2097,219,0,0,,,0,0,yes,delete,high,P1,no_signal
https://coincu.com/ftx-revealed-the-address-of-167-million/,FTX Revealed The Address Of $167 Million Seized By The Bahamas Authorities,FTX Revealed The Address Of $167 Million Seized By The Bahamas Authorities,news,200,Indexable,2077,149,0,0,,,0,0,yes,delete,high,P1,no_signal
https://coincu.com/ftx-revenue-increases-1000-crypto-peak/,FTX Revenue Increases 1000% During Crypto Peak,FTX Revenue Increases 1000% During Crypto Peak,news,200,Indexable,1918,155,0,0,,,0,0,yes,delete,high,P1,no_signal
