post_id,post_name,url,api_delete_http_status,api_delete_result,api_note,public_status_after_delete,final_verdict
361081,xrp-adoption-expands-as-fleet-miner-turns-holdings-into-predictable-passive-income-register-now-and-receive-a-15-bonus,https://coincu.com/xrp-adoption-expands-as-fleet-miner-turns-holdings-into-predictable-passive-income-register-now-and-receive-a-15-bonus/,200,deleted,,404,removed_public
360988,xrp-and-btc-etfs-dual-drive-quid-miner-green-cloud-mining-leads-a-new-ecosystem,https://coincu.com/xrp-and-btc-etfs-dual-drive-quid-miner-green-cloud-mining-leads-a-new-ecosystem/,200,deleted,,404,removed_public
360941,probit-global-to-conduct-launchpad-for-cratd2c-a-next-generation-layer-1-dpos-blockchain,https://coincu.com/probit-global-to-conduct-launchpad-for-cratd2c-a-next-generation-layer-1-dpos-blockchain/,200,deleted,,404,removed_public
360387,blockdags-nearly-400m-presale-tops-xrp-gains-hedera-price-action,https://coincu.com/blockdags-nearly-400m-presale-tops-xrp-gains-hedera-price-action/,200,deleted,,200,still_live_or_needs_purge
360385,hbar-0-25-arb-280-rally-blockdags-nearly-400m-presale-boom,https://coincu.com/hbar-0-25-arb-280-rally-blockdags-nearly-400m-presale-boom/,200,deleted,,404,removed_public
360383,blockdag-presale-nears-400m-3m-miners-outshine-blockchainfx-ozak-ai,https://coincu.com/blockdag-presale-nears-400m-3m-miners-outshine-blockchainfx-ozak-ai/,200,deleted,,200,still_live_or_needs_purge
360159,btc-eth-and-xrp-price-trends-mining-smarter-with-swl-miners-cloud-platform,https://coincu.com/btc-eth-and-xrp-price-trends-mining-smarter-with-swl-miners-cloud-platform/,200,deleted,,404,removed_public
360101,cango-inc-reports-second-quarter-2025-unaudited-financial-results,https://coincu.com/cango-inc-reports-second-quarter-2025-unaudited-financial-results/,200,deleted,,404,removed_public
359659,mexc-joins-ondo-global-markets-alliance-and-lists-tokenized-stocks-with-150000-reward-pool-event,https://coincu.com/mexc-joins-ondo-global-markets-alliance-and-lists-tokenized-stocks-with-150000-reward-pool-event/,200,deleted,,200,still_live_or_needs_purge
359607,blockdag-0-0013-presale-gains-traction-as-litecoin-and-hbar-struggle-to-hold-key-levels,https://coincu.com/blockdag-0-0013-presale-gains-traction-as-litecoin-and-hbar-struggle-to-hold-key-levels/,200,deleted,,200,still_live_or_needs_purge
359364,bitmine-immersion-bmnr-announces-release-of-august-investor-presentation-and-latest-video-message-from-tom-lee-chairman,https://coincu.com/bitmine-immersion-bmnr-announces-release-of-august-investor-presentation-and-latest-video-message-from-tom-lee-chairman/,200,deleted,,404,removed_public
359247,missed-out-on-cryptocurrency-trading-dont-miss-out-on-mining-sneyd-mining-opens-a-new-channel-for-daily-income-of-tens-of-thousands-of-dollars,https://coincu.com/missed-out-on-cryptocurrency-trading-dont-miss-out-on-mining-sneyd-mining-opens-a-new-channel-for-daily-income-of-tens-of-thousands-of-dollars/,200,deleted,,404,removed_public
359208,bingx-unveils-world-liberty-finance-spot-listing-carnival-offering-900000-wlfi-in-rewards,https://coincu.com/bingx-unveils-world-liberty-finance-spot-listing-carnival-offering-900000-wlfi-in-rewards/,200,deleted,,404,removed_public
358566,new-opportunities-with-zero-barriers-to-entry-fleet-miner-cloud-mining-helps-you-leverage-xrp-and-easily-earn-10000-per-month,https://coincu.com/new-opportunities-with-zero-barriers-to-entry-fleet-miner-cloud-mining-helps-you-leverage-xrp-and-easily-earn-10000-per-month/,200,deleted,,404,removed_public
358446,blockdag-secures-386m-outshines-binance-and-polygon,https://coincu.com/blockdag-secures-386m-outshines-binance-and-polygon/,200,deleted,,200,still_live_or_needs_purge
358413,tether-announces-plan-to-bring-usd%e2%82%ae-to-rgb-advancing-native-stablecoins-on-bitcoin-and-lightning,https://coincu.com/tether-announces-plan-to-bring-usd%e2%82%ae-to-rgb-advancing-native-stablecoins-on-bitcoin-and-lightning/,200,deleted,,404,removed_public
358276,sneyd-creates-a-new-ecosystem-for-btc-and-xrp-cloud-mining-ushering-in-a-new-era-of-profitability,https://coincu.com/sneyd-creates-a-new-ecosystem-for-btc-and-xrp-cloud-mining-ushering-in-a-new-era-of-profitability/,200,deleted,,404,removed_public
358125,sei-eyes-breakout-pengu-expands-bdags-385m-presale-leads,https://coincu.com/sei-eyes-breakout-pengu-expands-bdags-385m-presale-leads/,200,deleted,,200,still_live_or_needs_purge
357416,gamdom-launches-next-level-sportsbook-experience,https://coincu.com/gamdom-launches-next-level-sportsbook-experience/,200,deleted,,404,removed_public
357390,bitmine-immersion-bmnr-reigns-as-the-1-eth-treasury-in-the-world-2nd-largest-crypto-treasury-globally-and-the-20th-most-liquid-us-stock-trading-2-8-billion-per-day-on-average,https://coincu.com/bitmine-immersion-bmnr-reigns-as-the-1-eth-treasury-in-the-world-2nd-largest-crypto-treasury-globally-and-the-20th-most-liquid-us-stock-trading-2-8-billion-per-day-on-average/,200,deleted,,404,removed_public
357091,blockdag-the-381m-presale-everyones-talking-about,https://coincu.com/blockdag-the-381m-presale-everyones-talking-about/,200,deleted,,200,still_live_or_needs_purge
357089,blockdags-381m-presale-surges-past-xrps-12b-volumes-and-dogecoins-500m-whale-play,https://coincu.com/blockdags-381m-presale-surges-past-xrps-12b-volumes-and-dogecoins-500m-whale-play/,200,deleted,,200,still_live_or_needs_purge
356462,from-cardanos-100-rally-to-ethereums-12k-target-why-cold-wallets-6-4m-stage-17-presale-at-0-00998-could-be-the-top-crypto-pick,https://coincu.com/from-cardanos-100-rally-to-ethereums-12k-target-why-cold-wallets-6-4m-stage-17-presale-at-0-00998-could-be-the-top-crypto-pick/,200,deleted,,200,still_live_or_needs_purge
356448,ethena-price-surge-pengu-price-outlook-cold-wallet-presale-surges-to-6-35m,https://coincu.com/ethena-price-surge-pengu-price-outlook-cold-wallet-presale-surges-to-6-35m/,200,deleted,,200,still_live_or_needs_purge
356235,cold-wallets-6-3m-presale-cardano-breakout-signals-and-xrp-bullish-trend,https://coincu.com/cold-wallets-6-3m-presale-cardano-breakout-signals-and-xrp-bullish-trend/,200,deleted,,200,still_live_or_needs_purge
356171,blockdag-academy-and-378m-presale-surpass-stellar-breakout-and-bittensor-growth,https://coincu.com/blockdag-academy-and-378m-presale-surpass-stellar-breakout-and-bittensor-growth/,200,deleted,,200,still_live_or_needs_purge
356150,7800-per-day-can-be-earned-by-xrp-holders-from-goldenminings-xrp-contracts-despite-a-fall-in-ripple-xrp-prices,https://coincu.com/7800-per-day-can-be-earned-by-xrp-holders-from-goldenminings-xrp-contracts-despite-a-fall-in-ripple-xrp-prices/,404,http_error,Invalid post ID.,404,removed_public
355889,blockdags-record-376m-presale-positions-it-as-2025s-top-layer-1,https://coincu.com/blockdags-record-376m-presale-positions-it-as-2025s-top-layer-1/,200,deleted,,200,still_live_or_needs_purge
