source_url,source_type,source_id,old_link,new_link,old_count_found_in_raw,status
https://coincu.com/top-defi-protocols-list-led-makerdao/,posts,239657,https://coincu.com/c/casino-reviews/,https://coincu.com/casino-reviews/,0,no_match_in_raw
https://coincu.com/top-defi-protocols-list-led-makerdao/,posts,239657,https://coincu.com/c/pr/press-release/,https://coincu.com/pr/press-release/,0,no_match_in_raw
https://coincu.com/top-defi-protocols-list-led-makerdao/,posts,239657,https://coincu.com/c/defi,https://coincu.com/defi/,0,no_match_in_raw
https://coincu.com/how-to-sign-up-an-okx-account-step-by-step-guide/,posts,249402,https://coincu.com/c/casino-reviews/,https://coincu.com/casino-reviews/,0,no_match_in_raw
https://coincu.com/how-to-sign-up-an-okx-account-step-by-step-guide/,posts,249402,https://coincu.com/c/pr/press-release/,https://coincu.com/pr/press-release/,0,no_match_in_raw
https://coincu.com/how-to-sign-up-an-okx-account-step-by-step-guide/,posts,249402,https://coincu.com/c/knowledge,https://coincu.com/knowledge/,0,no_match_in_raw
https://coincu.com/mexc-referral-code-129erg-earn-sign-up-bonuses/,posts,254250,https://coincu.com/c/casino-reviews/,https://coincu.com/casino-reviews/,0,no_match_in_raw
https://coincu.com/mexc-referral-code-129erg-earn-sign-up-bonuses/,posts,254250,https://coincu.com/c/pr/press-release/,https://coincu.com/pr/press-release/,0,no_match_in_raw
https://coincu.com/mexc-referral-code-129erg-earn-sign-up-bonuses/,posts,254250,https://coincu.com/c/knowledge,https://coincu.com/knowledge/,0,no_match_in_raw
https://coincu.com/mexc-referral-code-129erg-earn-sign-up-bonuses/,posts,254250,https://coincu.com/c/market/,https://coincu.com/markets/,1,replaced
https://coincu.com/circle-launches-eurc-on-the-mighty-solana/,posts,238219,https://coincu.com/c/casino-reviews/,https://coincu.com/casino-reviews/,0,no_match_in_raw
https://coincu.com/circle-launches-eurc-on-the-mighty-solana/,posts,238219,https://coincu.com/c/pr/press-release/,https://coincu.com/pr/press-release/,0,no_match_in_raw
https://coincu.com/circle-launches-eurc-on-the-mighty-solana/,posts,238219,https://coincu.com/c/news,https://coincu.com/news/,0,no_match_in_raw
https://coincu.com/top-5-best-wallets-on-solana/,posts,70015,https://coincu.com/c/casino-reviews/,https://coincu.com/casino-reviews/,0,no_match_in_raw
https://coincu.com/top-5-best-wallets-on-solana/,posts,70015,https://coincu.com/c/pr/press-release/,https://coincu.com/pr/press-release/,0,no_match_in_raw
