original_post_id,media_id,post_name,url,extract_result,delete_http_status,delete_result,delete_note,public_status_after_delete,final_verdict
395449,395448,robo-token-enters-coinbase-roadmap-as-airdrop-portal-opens,https://coincu.com/robo-token-enters-coinbase-roadmap-as-airdrop-portal-opens/,media_link,200,deleted,,200,still_live_or_needs_purge
377220,377219,blockdags-435m-presale-momentum-builds-as-tao-halving-nears-and-link-prepares-breakout,https://coincu.com/blockdags-435m-presale-momentum-builds-as-tao-halving-nears-and-link-prepares-breakout/,media_link,200,deleted,,200,still_live_or_needs_purge
376142,376141,cardano-targets-0-75-stellar-eyes-breakout-while-blockdags-435m-presale-and-evm-architecture-define-2025s-top-crypto,https://coincu.com/cardano-targets-0-75-stellar-eyes-breakout-while-blockdags-435m-presale-and-evm-architecture-define-2025s-top-crypto/,media_link,200,deleted,,200,still_live_or_needs_purge
376008,376007,whitelist-closed-hugs-presale-live-milk-mocha-launches-cryptos-sweetest-blockchain-revolution,https://coincu.com/whitelist-closed-hugs-presale-live-milk-mocha-launches-cryptos-sweetest-blockchain-revolution/,media_link,200,deleted,,200,still_live_or_needs_purge
376006,376005,after-a-record-100-whitelist-signups-milk-mochas-hugs-presale-brings-its-comic-world-to-crypto,https://coincu.com/after-a-record-100-whitelist-signups-milk-mochas-hugs-presale-brings-its-comic-world-to-crypto/,media_link,200,deleted,,200,still_live_or_needs_purge
373338,373337,blockdags-435m-presale-3-5m-strong-network-set-the-stage-for-1-and-5-price-targets,https://coincu.com/blockdags-435m-presale-3-5m-strong-network-set-the-stage-for-1-and-5-price-targets/,media_link,200,deleted,,200,still_live_or_needs_purge
370586,370585,blockdag-430m-presale-outshines-avax-bnb-momentum,https://coincu.com/blockdag-430m-presale-outshines-avax-bnb-momentum/,media_link,200,deleted,,200,still_live_or_needs_purge
370324,370323,blockdags-430m-presale-surges-ahead-of-genesis-day-while-solana-eyes-300-toncoin-rebounds-35,https://coincu.com/blockdags-430m-presale-surges-ahead-of-genesis-day-while-solana-eyes-300-toncoin-rebounds-35/,media_link,200,deleted,,200,still_live_or_needs_purge
369262,369261,crypto-presale-price-prediction-will-blockchainfx-maxi-doge-or-little-pepe-be-the-next-1000x-crypto,https://coincu.com/crypto-presale-price-prediction-will-blockchainfx-maxi-doge-or-little-pepe-be-the-next-1000x-crypto/,media_link,200,deleted,,200,still_live_or_needs_purge
368957,368956,shiba-at-support-aster-hits-resistance-but-blockdag-becomes-the-top-trending-crypto-with-420m-presale-a-live-testnet,https://coincu.com/shiba-at-support-aster-hits-resistance-but-blockdag-becomes-the-top-trending-crypto-with-420m-presale-a-live-testnet/,media_link,200,deleted,,200,still_live_or_needs_purge
368711,368710,best-crypto-presales-of-2025-blockchainfx-surges-past-9-18m-while-blockdag-and-bitcoin-hyper-eye-100x-gains,https://coincu.com/best-crypto-presales-of-2025-blockchainfx-surges-past-9-18m-while-blockdag-and-bitcoin-hyper-eye-100x-gains/,media_link,200,deleted,,200,still_live_or_needs_purge
368110,368109,smart-moneys-2025-picks-7-top-coins-and-the-best-presale-coin-catching-whales,https://coincu.com/smart-moneys-2025-picks-7-top-coins-and-the-best-presale-coin-catching-whales/,media_link,200,deleted,,200,still_live_or_needs_purge
367930,367929,blockdags-420m-presale-position-it-as-2025s-growing-crypto,https://coincu.com/blockdags-420m-presale-position-it-as-2025s-growing-crypto/,media_link,200,deleted,,200,still_live_or_needs_purge
367652,367651,how-the-zero-knowledge-proof-zkp-whitelist-became-the-center-of-presale-buzz,https://coincu.com/how-the-zero-knowledge-proof-zkp-whitelist-became-the-center-of-presale-buzz/,media_link,200,deleted,,200,still_live_or_needs_purge
367434,367433,xrp-eyes-9-pi-falters-blockdag-nears-600-million-presale-target,https://coincu.com/xrp-eyes-9-pi-falters-blockdag-nears-600-million-presale-target/,media_link,200,deleted,,200,still_live_or_needs_purge
367489,367488,blockdag-vs-snorter-vs-blockchainfx-which-crypto-presale-has-the-clearer-path-to-1000-roi,https://coincu.com/blockdag-vs-snorter-vs-blockchainfx-which-crypto-presale-has-the-clearer-path-to-1000-roi/,media_link,200,deleted,,200,still_live_or_needs_purge
366995,366994,next-big-crypto-winner-500-in-blockchainfx-presale-could-surpass-dogecoins-1000x-run,https://coincu.com/next-big-crypto-winner-500-in-blockchainfx-presale-could-surpass-dogecoins-1000x-run/,media_link,200,deleted,,200,still_live_or_needs_purge
366993,,ignored-xrp-before-its-boom-this-best-crypto-presale-looks-like-the-second-shot-you-cant-miss,https://coincu.com/ignored-xrp-before-its-boom-this-best-crypto-presale-looks-like-the-second-shot-you-cant-miss/,fetch_error:The read operation timed out,,skip_no_media_id,,200,still_live_or_needs_purge
366991,366990,xlm-chart-strengthens-with-bullish-momentum-while-blockchainfx-presale-creates-scarcity-ahead-of-launch,https://coincu.com/xlm-chart-strengthens-with-bullish-momentum-while-blockchainfx-presale-creates-scarcity-ahead-of-launch/,media_link,200,deleted,,200,still_live_or_needs_purge
366605,366604,blockdag-nears-420m-presale-and-alpine-f1-sponsorship-proving-its-2025s-best-crypto-presale,https://coincu.com/blockdag-nears-420m-presale-and-alpine-f1-sponsorship-proving-its-2025s-best-crypto-presale/,media_link,200,deleted,,200,still_live_or_needs_purge
366527,366526,shib-burn-soars-cronos-drops-blockdag-presale-booms,https://coincu.com/shib-burn-soars-cronos-drops-blockdag-presale-booms/,media_link,200,deleted,,200,still_live_or_needs_purge
