post_id,post_name,url,api_delete_http_status,api_delete_result,api_note,public_status_after_delete,final_verdict,recheck_status,recheck_verdict
365687,xrp-bnb-rally-but-blockdags-411m-presale-shows-bigger-upside,https://coincu.com/xrp-bnb-rally-but-blockdags-411m-presale-shows-bigger-upside/,200,deleted,,200,still_live_or_needs_purge,200,still_live_or_needs_purge
365667,blockdag-vs-bullzilla-real-traction-vs-hype-in-2025s-presale-showdown,https://coincu.com/blockdag-vs-bullzilla-real-traction-vs-hype-in-2025s-presale-showdown/,200,deleted,,200,still_live_or_needs_purge,200,still_live_or_needs_purge
365685,bnb-price-prediction-2025-can-binance-coin-reach-1200-while-this-altcoin-presale-aims-for-100x-roi,https://coincu.com/bnb-price-prediction-2025-can-binance-coin-reach-1200-while-this-altcoin-presale-aims-for-100x-roi/,200,deleted,,200,still_live_or_needs_purge,200,still_live_or_needs_purge
365653,top-crypto-to-buy-bdag-presale-climbs-while-ltc-hype-lose-ground,https://coincu.com/top-crypto-to-buy-bdag-presale-climbs-while-ltc-hype-lose-ground/,200,deleted,,200,still_live_or_needs_purge,200,still_live_or_needs_purge
365615,blockdags-nearly-415m-presale-bwt-alpine-f1-deal-outshine-xrp-ada,https://coincu.com/blockdags-nearly-415m-presale-bwt-alpine-f1-deal-outshine-xrp-ada/,200,deleted,,200,still_live_or_needs_purge,200,still_live_or_needs_purge
365409,hbar-price-prediction-doge-update-blockdags-nearly-415m-presale-makes-it-a-top-crypto,https://coincu.com/hbar-price-prediction-doge-update-blockdags-nearly-415m-presale-makes-it-a-top-crypto/,200,deleted,,200,still_live_or_needs_purge,200,still_live_or_needs_purge
365075,who-owns-blockdag-the-real-identity-behind-blockdags-410m-presale-success,https://coincu.com/who-owns-blockdag-the-real-identity-behind-blockdags-410m-presale-success/,200,deleted,,200,still_live_or_needs_purge,200,still_live_or_needs_purge
365073,xrp-price-analysis-at-3-litecoin-holds-114-blockdag-presale-dominates-top-crypto-coins-of-2025,https://coincu.com/xrp-price-analysis-at-3-litecoin-holds-114-blockdag-presale-dominates-top-crypto-coins-of-2025/,200,deleted,,200,still_live_or_needs_purge,200,still_live_or_needs_purge
364775,aster-breaks-2-mark-while-early-gainers-are-eyeing-up-blockchainfxs-presale,https://coincu.com/aster-breaks-2-mark-while-early-gainers-are-eyeing-up-blockchainfxs-presale/,200,deleted,,200,still_live_or_needs_purge,200,still_live_or_needs_purge
364721,blockdag-presale-xrp-price-forecast-shiba-inu-rally-in-focus,https://coincu.com/blockdag-presale-xrp-price-forecast-shiba-inu-rally-in-focus/,200,deleted,,200,still_live_or_needs_purge,200,still_live_or_needs_purge
