original_post_id,live_post_id,post_name,url,slug,lookup_result,delete_http_status,delete_result,delete_note,public_status_after_delete,final_verdict
395449,,robo-token-enters-coinbase-roadmap-as-airdrop-portal-opens,https://coincu.com/robo-token-enters-coinbase-roadmap-as-airdrop-portal-opens/,robo-token-enters-coinbase-roadmap-as-airdrop-portal-opens,not_found,,skip_no_live_object,,200,still_live_or_needs_purge
377220,,blockdags-435m-presale-momentum-builds-as-tao-halving-nears-and-link-prepares-breakout,https://coincu.com/blockdags-435m-presale-momentum-builds-as-tao-halving-nears-and-link-prepares-breakout/,blockdags-435m-presale-momentum-builds-as-tao-halving-nears-and-link-prepares-breakout,not_found,,skip_no_live_object,,200,still_live_or_needs_purge
376142,,cardano-targets-0-75-stellar-eyes-breakout-while-blockdags-435m-presale-and-evm-architecture-define-2025s-top-crypto,https://coincu.com/cardano-targets-0-75-stellar-eyes-breakout-while-blockdags-435m-presale-and-evm-architecture-define-2025s-top-crypto/,cardano-targets-0-75-stellar-eyes-breakout-while-blockdags-435m-presale-and-evm-architecture-define-2025s-top-crypto,not_found,,skip_no_live_object,,200,still_live_or_needs_purge
376008,,whitelist-closed-hugs-presale-live-milk-mocha-launches-cryptos-sweetest-blockchain-revolution,https://coincu.com/whitelist-closed-hugs-presale-live-milk-mocha-launches-cryptos-sweetest-blockchain-revolution/,whitelist-closed-hugs-presale-live-milk-mocha-launches-cryptos-sweetest-blockchain-revolution,not_found,,skip_no_live_object,,200,still_live_or_needs_purge
376006,,after-a-record-100-whitelist-signups-milk-mochas-hugs-presale-brings-its-comic-world-to-crypto,https://coincu.com/after-a-record-100-whitelist-signups-milk-mochas-hugs-presale-brings-its-comic-world-to-crypto/,after-a-record-100-whitelist-signups-milk-mochas-hugs-presale-brings-its-comic-world-to-crypto,not_found,,skip_no_live_object,,200,still_live_or_needs_purge
373338,,blockdags-435m-presale-3-5m-strong-network-set-the-stage-for-1-and-5-price-targets,https://coincu.com/blockdags-435m-presale-3-5m-strong-network-set-the-stage-for-1-and-5-price-targets/,blockdags-435m-presale-3-5m-strong-network-set-the-stage-for-1-and-5-price-targets,not_found,,skip_no_live_object,,200,still_live_or_needs_purge
370586,,blockdag-430m-presale-outshines-avax-bnb-momentum,https://coincu.com/blockdag-430m-presale-outshines-avax-bnb-momentum/,blockdag-430m-presale-outshines-avax-bnb-momentum,not_found,,skip_no_live_object,,200,still_live_or_needs_purge
370324,,blockdags-430m-presale-surges-ahead-of-genesis-day-while-solana-eyes-300-toncoin-rebounds-35,https://coincu.com/blockdags-430m-presale-surges-ahead-of-genesis-day-while-solana-eyes-300-toncoin-rebounds-35/,blockdags-430m-presale-surges-ahead-of-genesis-day-while-solana-eyes-300-toncoin-rebounds-35,not_found,,skip_no_live_object,,200,still_live_or_needs_purge
369262,,crypto-presale-price-prediction-will-blockchainfx-maxi-doge-or-little-pepe-be-the-next-1000x-crypto,https://coincu.com/crypto-presale-price-prediction-will-blockchainfx-maxi-doge-or-little-pepe-be-the-next-1000x-crypto/,crypto-presale-price-prediction-will-blockchainfx-maxi-doge-or-little-pepe-be-the-next-1000x-crypto,not_found,,skip_no_live_object,,200,still_live_or_needs_purge
368957,,shiba-at-support-aster-hits-resistance-but-blockdag-becomes-the-top-trending-crypto-with-420m-presale-a-live-testnet,https://coincu.com/shiba-at-support-aster-hits-resistance-but-blockdag-becomes-the-top-trending-crypto-with-420m-presale-a-live-testnet/,shiba-at-support-aster-hits-resistance-but-blockdag-becomes-the-top-trending-crypto-with-420m-presale-a-live-testnet,not_found,,skip_no_live_object,,200,still_live_or_needs_purge
368711,,best-crypto-presales-of-2025-blockchainfx-surges-past-9-18m-while-blockdag-and-bitcoin-hyper-eye-100x-gains,https://coincu.com/best-crypto-presales-of-2025-blockchainfx-surges-past-9-18m-while-blockdag-and-bitcoin-hyper-eye-100x-gains/,best-crypto-presales-of-2025-blockchainfx-surges-past-9-18m-while-blockdag-and-bitcoin-hyper-eye-100x-gains,not_found,,skip_no_live_object,,200,still_live_or_needs_purge
368110,,smart-moneys-2025-picks-7-top-coins-and-the-best-presale-coin-catching-whales,https://coincu.com/smart-moneys-2025-picks-7-top-coins-and-the-best-presale-coin-catching-whales/,smart-moneys-2025-picks-7-top-coins-and-the-best-presale-coin-catching-whales,not_found,,skip_no_live_object,,200,still_live_or_needs_purge
367930,,blockdags-420m-presale-position-it-as-2025s-growing-crypto,https://coincu.com/blockdags-420m-presale-position-it-as-2025s-growing-crypto/,blockdags-420m-presale-position-it-as-2025s-growing-crypto,not_found,,skip_no_live_object,,200,still_live_or_needs_purge
