Source URL,Broken Image Count,Malformed Image Count,Decision,Why,GSC Clicks,GSC Impressions,Backlinks,Ref Domains,Backlink Response,Stale Score,Evergreen Score,Sample Broken Images
https://coincu.com/gamefi-weekly-recap-august-8st-14th-2022/,11,0,consider_delete,"No top-page GSC signal, no backlink support, and slug shows strong stale-topic signals.",0,0,0,0,,4,0,https://coincu.com/wp-content/uploads/2022/08/a-1024x598.jpg | https://coincu.com/wp-content/uploads/2022/08/a.jpg | https://coincu.com/wp-content/uploads/2022/08/image-1170.png | https://coincu.com/wp-content/uploads/2022/08/image-1184-1024x791.png | https://coincu.com/wp-content/uploads/2022/08/image-1184.png
https://coincu.com/top-solana-nft-collections-in-2022/,11,0,consider_delete,"No top-page GSC signal, no backlink support, and slug shows strong stale-topic signals.",0,0,0,0,,3,0,https://coincu.com/wp-content/uploads/2022/12/image-1981-1024x576.png | https://coincu.com/wp-content/uploads/2022/12/image-1981.png | https://coincu.com/wp-content/uploads/2022/12/image-1982-1024x453.png | https://coincu.com/wp-content/uploads/2022/12/image-1982.png | https://coincu.com/wp-content/uploads/2022/12/image-1983.png
https://coincu.com/crypto-projects-are-dead-in-2022/,10,0,consider_delete,"No top-page GSC signal, no backlink support, and slug shows strong stale-topic signals.",0,0,0,0,,2,0,https://coincu.com/wp-content/uploads/2022/12/Screenshot-2022-12-28-at-13.04.22-1024x707.png | https://coincu.com/wp-content/uploads/2022/12/image-2144-1024x768.png | https://coincu.com/wp-content/uploads/2022/12/image-2144.png | https://coincu.com/wp-content/uploads/2022/12/image-2145-1024x576.png | https://coincu.com/wp-content/uploads/2022/12/image-2145.png
https://coincu.com/nft-meebits-collection/,10,0,consider_delete,"No top-page GSC signal or backlinks, and the page looks like an older stale listicle with many broken images.",0,0,0,0,,1,0,https://coincu.com/wp-content/uploads/2022/07/image-1885-1024x768.png | https://coincu.com/wp-content/uploads/2022/07/image-1885.png | https://coincu.com/wp-content/uploads/2022/07/image-1886-1024x601.png | https://coincu.com/wp-content/uploads/2022/07/image-1886.png | https://coincu.com/wp-content/uploads/2022/07/image-1887-1024x651.png
https://coincu.com/top-5-blockchain-events-august-september/,10,0,consider_delete,"No top-page GSC signal or backlinks, and the page looks like an older stale listicle with many broken images.",0,0,0,0,,1,0,https://coincu.com/wp-content/uploads/2022/08/image-1445-1024x461.png | https://coincu.com/wp-content/uploads/2022/08/image-1445.png | https://coincu.com/wp-content/uploads/2022/08/image-1446-1024x555.png | https://coincu.com/wp-content/uploads/2022/08/image-1446.png | https://coincu.com/wp-content/uploads/2022/08/image-1447-1024x506.png
https://coincu.com/what-crypto-kols-recommend-in-q4-2022/,10,0,consider_delete,"No top-page GSC signal, no backlink support, and slug shows strong stale-topic signals.",0,0,0,0,,2,0,https://coincu.com/wp-content/uploads/2022/10/image-2893-1024x692.png | https://coincu.com/wp-content/uploads/2022/10/image-2893.png | https://coincu.com/wp-content/uploads/2022/10/image-2894.png | https://coincu.com/wp-content/uploads/2022/10/image-2895-1024x682.png | https://coincu.com/wp-content/uploads/2022/10/image-2895.png
https://coincu.com/gamefi-investors-less-interested-profits/,9,0,consider_delete,"No top-page GSC signal or backlinks, and the page looks like an older stale listicle with many broken images.",0,0,0,0,,1,0,https://coincu.com/wp-content/uploads/2022/08/Screen-Shot-2022-08-28-at-11.37.32-PM-1024x409.png | https://coincu.com/wp-content/uploads/2022/08/Screen-Shot-2022-08-28-at-11.37.32-PM.png | https://coincu.com/wp-content/uploads/2022/08/Screen-Shot-2022-08-28-at-11.40.04-PM-1024x333.png | https://coincu.com/wp-content/uploads/2022/08/Screen-Shot-2022-08-28-at-11.40.04-PM.png | https://coincu.com/wp-content/uploads/2022/08/Screen-Shot-2022-08-28-at-11.42.31-PM-1024x451.png
https://coincu.com/gamefi-segment-that-you-cant-miss/,9,0,consider_delete,"No top-page GSC signal or backlinks, and the page looks like an older stale listicle with many broken images.",0,0,0,0,,1,0,https://coincu.com/wp-content/uploads/2022/11/image-2290.png | https://coincu.com/wp-content/uploads/2022/11/image-2291.png | https://coincu.com/wp-content/uploads/2022/11/image-2292.png | https://coincu.com/wp-content/uploads/2022/11/image-2293-1024x498.png | https://coincu.com/wp-content/uploads/2022/11/z3917627905281_95b25c748442d383cf0bc3785954ced0.jpg
https://coincu.com/highlight-funding-rounds-in-september-2022/,9,0,consider_delete,"No top-page GSC signal, no backlink support, and slug shows strong stale-topic signals.",0,0,0,0,,4,0,https://coincu.com/wp-content/uploads/2022/09/image-2452-1024x689.png | https://coincu.com/wp-content/uploads/2022/09/image-2458-1024x576.png | https://coincu.com/wp-content/uploads/2022/09/image-2458.png | https://coincu.com/wp-content/uploads/2022/09/image-2461.png | https://coincu.com/wp-content/uploads/2022/09/image-2462.png
https://coincu.com/top-10-outstanding-ido-platforms-2023/,9,0,consider_delete,"No top-page GSC signal or backlinks, and the page looks like an older stale listicle with many broken images.",0,0,0,0,,1,0,https://coincu.com/wp-content/uploads/2022/12/image-126-1024x536.png | https://coincu.com/wp-content/uploads/2022/12/image-126.png | https://coincu.com/wp-content/uploads/2022/12/image-127.png | https://coincu.com/wp-content/uploads/2022/12/image-128-1024x576.png | https://coincu.com/wp-content/uploads/2022/12/image-128.png
